year,value_aud_millions
2006,24842.13
2007,21741.449999999997
2008,25617.87
2009,25643.2
2010,25346.239999999994
2011,27573.01999999999
2012,28662.039999999997
2013,30490.490000000005
2014,34669.450000000004
2015,39745.28999999999
2016,37383.05999999999
2017,41643.87
2018,39995.86000000001
2019,42627.090000000004
2020,40430.590000000004
2021,48178.36000000002
2022,57703.37000000001
2023,60224.43000000001
2024,57938.26000000001
2025,66660.99000000002
