commodity,financial_year,value_aud_millions
Fruit,1990–91,337.653
Fruit,1991–92,425.851
Fruit,1992–93,448.649
Fruit,1993–94,448.903
Fruit,1994–95,439.216
Fruit,1995–96,474.666
Fruit,1996–97,546.475
Fruit,1997–98,514.854
Fruit,1998–99,547.314
Fruit,1999–00,559.479
Fruit,2000–01,648.042
Fruit,2001–02,716.395
Fruit,2002–03,711.216
Fruit,2003–04,536.826
Fruit,2004–05,572.721
Fruit,2005–06,601.713
Fruit,2006–07,569.052
Fruit,2007–08,551.109
Fruit,2008–09,622.538
Fruit,2009–10,525.065
Fruit,2010–11,407.75
Fruit,2011–12,461.907
Fruit,2012–13,598.589
Fruit,2013–14,684.272
Fruit,2014–15,716.251
Fruit,2015–16,1027.275
Fruit,2016–17,1042.357
Fruit,2017–18,1199.389
Fruit,2018–19,1461.328
Fruit,2019–20,1611.852
Fruit,2020–21,1327.326
Fruit,2021–22,1320.678
Fruit,2022–23,1415.926
Fruit,2023–24,1577.844
Fruit,2024–25,1696.375
Tree nuts,1988–89,22.52
Tree nuts,1989–90,16.264
Tree nuts,1990–91,35.055
Tree nuts,1991–92,23.274
Tree nuts,1992–93,41.972
Tree nuts,1993–94,42.305
Tree nuts,1994–95,60.474
Tree nuts,1995–96,85.926
Tree nuts,1996–97,76.233
Tree nuts,1997–98,80.997
Tree nuts,1998–99,84.938
Tree nuts,1999–00,102.22
Tree nuts,2000–01,97.498
Tree nuts,2001–02,139.844
Tree nuts,2002–03,112.663
Tree nuts,2003–04,145.412
Tree nuts,2004–05,196.448
Tree nuts,2005–06,203.487
Tree nuts,2006–07,173.393
Tree nuts,2007–08,180.856
Tree nuts,2008–09,232.99
Tree nuts,2009–10,211.377
Tree nuts,2010–11,210.406
Tree nuts,2011–12,239.233
Tree nuts,2012–13,347.052
Tree nuts,2013–14,609.328
Tree nuts,2014–15,732.034
Tree nuts,2015–16,929.033
Tree nuts,2016–17,819.019
Tree nuts,2017–18,800.828
Tree nuts,2018–19,1071.34
Tree nuts,2019–20,1013.593
Tree nuts,2020–21,922.681
Tree nuts,2021–22,1006.412
Tree nuts,2022–23,1196.58
Tree nuts,2023–24,998.541
Tree nuts,2024–25,1632.301
Vegetables,1988–89,92.159
Vegetables,1989–90,99.521
Vegetables,1990–91,109.011
Vegetables,1991–92,145.283
Vegetables,1992–93,154.179
Vegetables,1993–94,205.604
Vegetables,1994–95,230.141
Vegetables,1995–96,238.518
Vegetables,1996–97,229.616
Vegetables,1997–98,269.489
Vegetables,1998–99,287.997
Vegetables,1999–00,250.818
Vegetables,2000–01,265.737
Vegetables,2001–02,297.369
Vegetables,2002–03,286.825
Vegetables,2003–04,242.881
Vegetables,2004–05,224.718
Vegetables,2005–06,219.034
Vegetables,2006–07,219.249
Vegetables,2007–08,207.253
Vegetables,2008–09,220.467
Vegetables,2009–10,228.778
Vegetables,2010–11,237.994
Vegetables,2011–12,219.752
Vegetables,2012–13,207.568
Vegetables,2013–14,217.961
Vegetables,2014–15,231.457
Vegetables,2015–16,286.002
Vegetables,2016–17,311.472
Vegetables,2017–18,325.012
Vegetables,2018–19,390.667
Vegetables,2019–20,413.954
Vegetables,2020–21,401.0
Vegetables,2021–22,419.425
Vegetables,2022–23,408.042
Vegetables,2023–24,442.709
Vegetables,2024–25,437.802
Total crops,1988–89,5595.271
Total crops,1989–90,6314.779
Total crops,1990–91,5646.367
Total crops,1991–92,5797.24
Total crops,1992–93,6883.718
Total crops,1993–94,7743.98
Total crops,1994–95,7299.21
Total crops,1995–96,10285.937
Total crops,1996–97,11954.609
Total crops,1997–98,12177.805
Total crops,1998–99,12457.992
Total crops,1999–00,12809.562
Total crops,2000–01,15179.63
Total crops,2001–02,16243.543
Total crops,2002–03,13108.692
Total crops,2003–04,13287.522
Total crops,2004–05,13449.558
Total crops,2005–06,14020.489
Total crops,2006–07,12872.521
Total crops,2007–08,12923.736
Total crops,2008–09,16447.213
Total crops,2009–10,14999.984
Total crops,2010–11,17509.743
Total crops,2011–12,21733.808
Total crops,2012–13,23122.049
Total crops,2013–14,22848.916
Total crops,2014–15,22024.307
Total crops,2015–16,23250.563
Total crops,2016–17,28738.73
Total crops,2017–18,25853.719
Total crops,2018–19,24463.229
Total crops,2019–20,22880.223
Total crops,2020–21,26327.987
Total crops,2021–22,39588.336
Total crops,2022–23,50572.713
Total crops,2023–24,42090.386
Total crops,2024–25,41482.545
